{'loss': 0.4360875, 'global_step': 2479, 'accuracy': 0.8881} @ {'batch_size': 30, 'steps': 100, 'epochs': 1} took 42.2069368362 seconds
{'loss': 0.41956913, 'global_step': 2579, 'accuracy': 0.8924} @ {'batch_size': 50, 'steps': 100, 'epochs': 1} took 53.078305006 seconds
{'loss': 0.40644905, 'global_step': 2679, 'accuracy': 0.8931} @ {'batch_size': 100, 'steps': 100, 'epochs': 1} took 79.1832809448 seconds
{'loss': 0.39422742, 'global_step': 2779, 'accuracy': 0.8961} @ {'batch_size': 150, 'steps': 100, 'epochs': 1} took 105.202401161 seconds
{'loss': 0.3848227, 'global_step': 2879, 'accuracy': 0.9011} @ {'batch_size': 200, 'steps': 100, 'epochs': 1} took 131.131173849 seconds
{'loss': 0.37310186, 'global_step': 2979, 'accuracy': 0.9012} @ {'batch_size': 300, 'steps': 100, 'epochs': 1} took 183.839473009 seconds
{'loss': 0.36396196, 'global_step': 3079, 'accuracy': 0.904} @ {'batch_size': 500, 'steps': 100, 'epochs': 1} took 292.329809904 seconds
{'loss': 0.36027148, 'global_step': 3279, 'accuracy': 0.9039} @ {'batch_size': 30, 'steps': 200, 'epochs': 1} took 60.8172469139 seconds
{'loss': 0.3363438, 'global_step': 3479, 'accuracy': 0.9095} @ {'batch_size': 50, 'steps': 200, 'epochs': 1} took 82.3279678822 seconds
{'loss': 0.32142964, 'global_step': 3679, 'accuracy': 0.9137} @ {'batch_size': 100, 'steps': 200, 'epochs': 1} took 138.100018978 seconds
{'loss': 0.3104449, 'global_step': 3879, 'accuracy': 0.9158} @ {'batch_size': 150, 'steps': 200, 'epochs': 1} took 187.269722939 seconds
{'loss': 0.30021924, 'global_step': 4079, 'accuracy': 0.9174} @ {'batch_size': 200, 'steps': 200, 'epochs': 1} took 238.816291094 seconds
{'loss': 0.29031715, 'global_step': 4279, 'accuracy': 0.918} @ {'batch_size': 300, 'steps': 200, 'epochs': 1} took 344.267244816 seconds
{'loss': 0.28151527, 'global_step': 4479, 'accuracy': 0.9217} @ {'batch_size': 500, 'steps': 200, 'epochs': 1} took 557.726053953 seconds
{'loss': 0.26672706, 'global_step': 4979, 'accuracy': 0.9247} @ {'batch_size': 30, 'steps': 500, 'epochs': 1} took 116.883502007 seconds
{'loss': 0.2515684, 'global_step': 5479, 'accuracy': 0.9284} @ {'batch_size': 50, 'steps': 500, 'epochs': 1} took 170.325170994 seconds
{'loss': 0.23565891, 'global_step': 5979, 'accuracy': 0.9329} @ {'batch_size': 100, 'steps': 500, 'epochs': 1} took 306.130411863 seconds
{'loss': 0.22438042, 'global_step': 6479, 'accuracy': 0.9354} @ {'batch_size': 150, 'steps': 500, 'epochs': 1} took 431.172336102 seconds
{'loss': 0.21353348, 'global_step': 6979, 'accuracy': 0.939} @ {'batch_size': 200, 'steps': 500, 'epochs': 1} took 562.29275012 seconds
{'loss': 0.20452172, 'global_step': 7479, 'accuracy': 0.9402} @ {'batch_size': 300, 'steps': 500, 'epochs': 1} took 825.679167032 seconds
{'loss': 0.19596012, 'global_step': 7979, 'accuracy': 0.9432} @ {'batch_size': 500, 'steps': 500, 'epochs': 1} took 1365.47035289 seconds
{'loss': 0.1838616, 'global_step': 8979, 'accuracy': 0.9472} @ {'batch_size': 30, 'steps': 1000, 'epochs': 1} took 212.415266037 seconds
{'loss': 0.17156574, 'global_step': 9979, 'accuracy': 0.9488} @ {'batch_size': 50, 'steps': 1000, 'epochs': 1} took 320.850151062 seconds
{'loss': 0.16008721, 'global_step': 10979, 'accuracy': 0.9526} @ {'batch_size': 100, 'steps': 1000, 'epochs': 1} took 582.367039919 seconds
{'loss': 0.14954525, 'global_step': 11979, 'accuracy': 0.956} @ {'batch_size': 150, 'steps': 1000, 'epochs': 1} took 840.44630003 seconds
{'loss': 0.14121154, 'global_step': 12979, 'accuracy': 0.9587} @ {'batch_size': 200, 'steps': 1000, 'epochs': 1} took 1104.12736011 seconds
{'loss': 0.1337275, 'global_step': 13979, 'accuracy': 0.9598} @ {'batch_size': 300, 'steps': 1000, 'epochs': 1} took 1630.04565811 seconds
{'loss': 0.12700096, 'global_step': 14979, 'accuracy': 0.9621} @ {'batch_size': 500, 'steps': 1000, 'epochs': 1} took 2708.61216211 seconds
{'loss': 0.11433973, 'global_step': 17979, 'accuracy': 0.9662} @ {'batch_size': 30, 'steps': 3000, 'epochs': 1} took 590.412214041 seconds
{'loss': 0.10264802, 'global_step': 20979, 'accuracy': 0.9693} @ {'batch_size': 50, 'steps': 3000, 'epochs': 1} took 916.317929029 seconds
{'loss': 0.0924397, 'global_step': 23979, 'accuracy': 0.9725} @ {'batch_size': 100, 'steps': 3000, 'epochs': 1} took 1706.07154918 seconds
{'loss': 0.08446671, 'global_step': 26979, 'accuracy': 0.9742} @ {'batch_size': 150, 'steps': 3000, 'epochs': 1} took 2482.23593402 seconds
{'loss': 0.07924655, 'global_step': 29979, 'accuracy': 0.9763} @ {'batch_size': 200, 'steps': 3000, 'epochs': 1} took 3261.45715904 seconds
{'loss': 0.073920526, 'global_step': 32979, 'accuracy': 0.9777} @ {'batch_size': 300, 'steps': 3000, 'epochs': 1} took 4841.64588189 seconds
{'loss': 0.06943284, 'global_step': 35979, 'accuracy': 0.9786} @ {'batch_size': 500, 'steps': 3000, 'epochs': 1} took 8067.77117109 seconds
{'loss': 0.060603656, 'global_step': 45979, 'accuracy': 0.9808} @ {'batch_size': 30, 'steps': 10000, 'epochs': 1} took 1894.39747882 seconds
{'loss': 0.053923916, 'global_step': 55979, 'accuracy': 0.9827} @ {'batch_size': 50, 'steps': 10000, 'epochs': 1} took 2972.69408488 seconds
{'loss': 0.0471248, 'global_step': 65979, 'accuracy': 0.9842} @ {'batch_size': 100, 'steps': 10000, 'epochs': 1} took 5605.09051204 seconds
{'loss': 0.04365868, 'global_step': 75979, 'accuracy': 0.9853} @ {'batch_size': 150, 'steps': 10000, 'epochs': 1} took 8207.67350101 seconds
{'loss': 0.04388735, 'global_step': 79415, 'accuracy': 0.9849} @ {'batch_size': 30, 'steps': 100, 'epochs': 2} took 60.9729399681 seconds
{'loss': 0.044852063, 'global_step': 79515, 'accuracy': 0.985} @ {'batch_size': 50, 'steps': 100, 'epochs': 2} took 71.5120000839 seconds
{'loss': 0.043744422, 'global_step': 79615, 'accuracy': 0.9853} @ {'batch_size': 100, 'steps': 100, 'epochs': 2} took 98.1032400131 seconds
{'loss': 0.04271026, 'global_step': 79715, 'accuracy': 0.9864} @ {'batch_size': 150, 'steps': 100, 'epochs': 2} took 123.81975913 seconds
{'loss': 0.04327297, 'global_step': 79815, 'accuracy': 0.9858} @ {'batch_size': 200, 'steps': 100, 'epochs': 2} took 150.112220049 seconds
{'loss': 0.043548867, 'global_step': 79915, 'accuracy': 0.9857} @ {'batch_size': 300, 'steps': 100, 'epochs': 2} took 2024.7744329 seconds
{'loss': 0.042506963, 'global_step': 80015, 'accuracy': 0.9861} @ {'batch_size': 500, 'steps': 100, 'epochs': 2} took 165.656419039 seconds
{'loss': 0.04496072, 'global_step': 80215, 'accuracy': 0.9855} @ {'batch_size': 30, 'steps': 200, 'epochs': 2} took 41.4189360142 seconds
{'loss': 0.043062214, 'global_step': 80415, 'accuracy': 0.9846} @ {'batch_size': 50, 'steps': 200, 'epochs': 2} took 52.7223310471 seconds
{'loss': 0.04383455, 'global_step': 80615, 'accuracy': 0.9856} @ {'batch_size': 100, 'steps': 200, 'epochs': 2} took 81.008825779 seconds
